,BHP,XJO,SP500,BILL30  (daily)
Date,Close,Close,Close,Close
29-Nov-21,38.57,7239.819,4655.27,0.00%
30-Nov-21,39.37,7255.97,4567,0.00%
1-Dec-21,39.9,7235.85,4513.04,0.00%
2-Dec-21,39.71,7225.18,4577.1,0.00%
3-Dec-21,40.23,7241.166,4538.43,0.00%
6-Dec-21,39.59,7245.071,4591.67,0.00%
7-Dec-21,39.95,7313.897,4686.75,0.00%
8-Dec-21,40.69,7405.446,4701.21,0.00%
9-Dec-21,40.2,7384.456,4667.45,0.00%
10-Dec-21,39.96,7353.522,4712.02,0.00%
13-Dec-21,41.04,7379.261,4668.97,0.00%
14-Dec-21,41.28,7378.385,4634.09,0.00%
15-Dec-21,41.07,7327.08,4709.85,0.00%
16-Dec-21,40.66,7295.66,4668.67,0.00%
17-Dec-21,41.4,7303.974,4620.64,0.00%
20-Dec-21,41.1,7292.16,4568.02,0.00%
21-Dec-21,41.71,7355.048,4649.23,0.00%
22-Dec-21,41.39,7364.768,4696.56,0.00%
23-Dec-21,41.26,7387.569,4725.79,0.00%
24-Dec-21,41.32,7420.295,4725.79,0.00%
27-Dec-21,41.32,7420.295,4791.19,0.00%
28-Dec-21,41.32,7420.295,4786.35,0.00%
29-Dec-21,41.33,7509.805,4793.06,0.00%
30-Dec-21,41.68,7513.373,4778.73,0.00%
31-Dec-21,41.5,7444.642,4766.18,0.00%
